"Author","initial idea","idea refinement","edatabase of tools","first draft","comments","formatting compliance","final version & submission","pre-sub enquiry writing","pre-sub enquiry comments","leading","auxilliary","Senior","Equal","Exclude","Total"
"Szymon M. Drobniak","1","1","1","1","1","1","1","1","1","1","","","","",10
"Joseph Cincotta","","1","","","1","","","","1","","","","","",3
"Malgorzata Lagisz","","1","","","1","","","","1","","","","","",3
"April Martinig","","1","","","1","","","","1","","","","","",3
"Kyle Morrison","","1","","","1","","","","1","","","","","",3
"Pietro Pollo","","1","","","1","","","","1","","","","","",3
"Patrice Pottier","","1","1","","1","","","","1","","","","","",4
"Lorenzo Ricolfi","","1","","","1","","","","1","","","","","",3
"Samantha Burke","","1","","","1","","","","1","","","","","",3
"Ayumi Mizuno","","1","1","","1","","","","1","","1","","","",5
"Jess Tam","","1","","","1","","","","1","","","","","",3
"Coralie Williams","","1","","","1","","","","1","","","","","",3
"Yefeng Yang","","1","","","1","","","","1","","","","","",3
"Pawel Podkowa","","","1","","1","","","","1","","","","","",3
"Shinichi Nakagawa","1","1","1","1","","","","","1","","","1","","",5
