Name;S1;S2;S3;S4;S5;Post_publ;Comment;Free;Link;Access date
GitHub;;;1;1;1;1;Version-control system allowing for easy recording of data and code, workflow for maintaining updateable supplements;Yes;https://github.com;March, 7th 2025
OSF Registries ;1;;;;;;A website that collects and enables pre-registration of research.;Yes;https://osf.io/registries;March, 7th 2025
Centre for Open Science Registered Reports;1;;;;;;Provides a list of journals that accept Registered Reports for submission;Yes;https://www.cos.io/initiatives/registered-reports;March, 7th 2025
Google Sheets;1;1;1;;;;One of the Google Workspace applications is cloud-based spreadsheet that enables data entry, formatting  and storage, as well as real-time cooperation and tracking of change history. It is shareable and compatible with Microsoft Excel.;Yes;https://workspace.google.com/products/sheets/;March, 7th 2025
Excel ;1;1;1;;;;Microsoft's spreadsheet application for organize and calcucate data. ;Yes;https://www.microsoft.com/en-us/microsoft-365/excel;March, 7th 2025
OneDrive;1;1;1;1;1;;Microsoft's cloud storage platform that offers sharing and collaborative  functions for co-workers.;Yes;http://onedrive.com;March, 8th 2025
Notion;1;1;1;1;1;;A collaborative notebook that for team communication and managing projects. Enables planing, brainstorming as well as writing. ;Yes (for individuals);https://www.notion.com/;March, 8th 2025
Evernote;1;1;1;1;1;;A tool that helps to organize work by adding to-do lists, notes and tasks organization. ;Yes (with limits);https://evernote.com/;March, 8th 2025
OneNote;1;1;1;1;1;;Microsoft's digital notebook application allows you to create notes, including sketches and handwriting. It is shareable and enables collaboration with team members.;Yes;https://onenote.com/;March, 8th 2025
Slack;1;1;1;1;1;;Communication platform for workplan organisation, communication and follow-up with team members. Enable file sharing and intregrations with productivity tools. ;Yes (with limits);https://slack.com/;March, 8th 2025
Discord;1;1;1;1;1;;Communication application for teams and communities. ;Yes;https://discord.com/;March, 8th 2025
MS Teams;1;1;1;1;1;;Microsoft's communication application that enables chat and video meetings as well as file sharing. ;Yes;https://www.microsoft.com/en-us/microsoft-teams/log-in;March, 8th 2025
Dropbox;;;1;;;1;A cloud storage platform for file sharing and data backup.;Yes (with limits);https://www.dropbox.com/;March, 8th 2025
Open Science Framework (OSF);;;1;;;1;Open Science Framework is a platform for collaboration, data collection and sharing, but with limited options;Yes;https://osf.io/;March, 8th 2025
Rayyan;;;1;;;;A web application for systematic literature reviews, helping researchers organize and screen references.;Yes;https://www.rayyan.ai/;March, 8th 2025
Zotero;;;1;;1;;A reference management software for collecting, organizing, citing, and export bibliographies.;Yes;https://www.zotero.org;March, 8th 2025
EndNote;;;;;1;;A reference management software for collecting, organizing, citing, and export bibliographies.;No;https://endnote.com/;March, 8th 2025
Paperpile;;;;;1;;A cloud-based reference  tool for collecting, organizing, browse PDFs, integrated withGoogle Apps.;No;https://paperpile.com/;March, 8th 2025
R;;;1;1;;;An environment for statistical computing, data analysis, and visualization.;Yes;https://www.r-project.org/;March, 8th 2025
Python;;;1;1;;;Universal programming language for data science, supported by variety of libraries.;Yes;https://www.python.org/;March, 8th 2025
Julia;;;1;1;;;A high-performance programming language for scientific computing.;Yes;https://julialang.org/;March, 8th 2025
STAN;;;1;1;;;Software for Bayesian Data Analysis with tools for validation and visualization;Yes;https://mc-stan.org/;March, 8th 2025
Rstudio;;;1;1;;;An integrated development environment for R, used for data analysis and visualization.;Yes;https://posit.co/download/rstudio-desktop/;March, 8th 2025
VS Code;;;1;1;;;Microsoft's code editor with support for multiple programming languages;Yes;https://code.visualstudio.com/;March, 8th 2025
Jupyter;;;1;1;1;;An interactive computing environment for writing and executing code.;Yes;https://jupyter.org/;March, 8th 2025
Shiny;;;1;1;;1;Web applications platform for R and Python languages;Yes;https://shiny.posit.co/;March, 8th 2025
EcoEvoRXiv;;;;;1;;A preprint repository for sharing works in ecology, evolution and conservation.;Yes;https://ecoevorxiv.org/;March, 8th 2025
BioRxiv;;;;;1;;A preprint repository for sharing research in life sciences.;Yes;https://www.biorxiv.org/;March, 8th 2025
Authorea;;;;;1;;A multi-disciplinary platform for researchers to draft, share preprints, and publish research.;Yes;https://www.authorea.com;March, 8th 2025
Word;;;;;1;;Microsoft's widely used text editor that enables creating and editing documents as well as collaborative writing;Yes;https://www.microsoft.com/en-us/microsoft-365/word;March, 8th 2025
PCI Journals;;;;;1;;Overlay journals with Diamond OA;No;;January, 31st 2026
CRediT;;;;;1;;;Yes;;January, 31st 2026
MERiT;;;;;1;;;Yes;;January, 31st 2026
Dragon Kill Points;1;;;;1;;;Yes;;January, 31st 2026
Zenodo;;;;1;1;1;;Yes;;January, 31st 2026
Docker;;;;1;;1;;Yes;;January, 31st 2026
Protocols.io;;1;1;;;;;Yes;;January, 31st 2026
Miro;1;;;;;;;Yes (with limits);;January, 31st 2026
SQL (e.g. Postgre);;;1;1;;1;;Yes;;
Rmarkdown;;;1;1;1;;;Yes;;
Quarto;;;1;1;1;;;Yes;;
Overleaf;;;;;1;1;;Yes (with limits);;
Registered report;;;;;1;;;Yes;;
